valsi	lojban	english	type_discrepancy
vitke	mi pu'o cpedu le ka vitke mi le zdani be mi vau so'o pendo	I am about to invite a few friends to my home.	
vitno	ti noi senta le dertu cu vitno le ka bisli	This layer of soil is permanently frozen.	
vlagi	le vlagi be ti noi bakni cu jai se bilma	The vulva of this cow has symptoms of a disease.	
vlile	le brife pu vlile	It was a storm.	
vlipa	le mamta be mi ku po'o cu vlipa le nu mi cliva	Only my mother has power to make me leave.	
vlipa	ma vlipa le nu co'a carvi	Who is powerful enough to cause rain?	
vofli	le toldi cu vofli le nalci	Butterflies fly using wings.	
voksa	le voksa be le mi'u ninmu cu to'e cladu	The woman's voice is quiet.	
vorme	ti du le vorme poi ve klama le mi'u zarci	This is the doorway to the store.	
vorme	tu noi kevna cu vorme le re kumfa	That hole is a doorway between the two rooms.	
vraga	ti noi jinci cu vraga le ka se pi'o ce'u katna le pelji vau le midju le re mei	These scissors is a lever for cutting paper with the fulcrum in the middle and two arms.	
vreji	ti vreji le pu se xusra be mi le skami le ka pelji	This is a paper record of assertions I made in the past about computers.	
vreta	do pu vreta le ckana ji le sfofa	Were you lying on the bed or on the sofa?	
vrici	le za'u vi mlatu cu vrici le ka skari ma kau	These cats vary in color.	
vrude	ra vrude le ka sidju le prenu	He is virtuous in helping people.	
vrude	la kevin na ji'e vrude	Kevin isn't moral to such degree.	
vrusi	le vrusi be le mi'u finpe cu carmi	The fish has a strong flavour.	
xabju	do xabju ma noi gugde	What country do you live in?	
xabju	do xabju ma noi tcadu	What city do you live in?	
xadba	mi pu katna le mi'u plise le re xadba	I cut the apple in half.	
xadba	le pa xadba be le mi'u plise cu fusra	Half of the apple is rotten.	
xadni	le xadni be le mi'u ninmu cu clani	The woman's body is long.	
xagji	mi xagji le rectu	I am hungry for meat.	
xagri	le mi'u nixli pu zgipli le xagri	The girl was playing the pipe.	
xajmi	le mi'u verba gerku cu xajmi mi le ka plipe tai ma kau	The puppet seems funny to me in how it jumps.	
xaksu	le mi'u karce cu xaksu le so'i livla	The car consumes a lot of fuel.	
xalbo	mi pu xalbo le ka stidi le nu ra gidva mi'o	I wasn't serious in suggesting that he guides us.	
xalka	ti xalka le se zbasu be fi le vanjba	This is alcohol made of grapes.	
xalni	le mi'u fetsi pu xalni le ka da'i nai pu se cinba pa fange nanmu	She panicked when she was kissed by an unfamiliar man.	
xamgu	ba zi ku mi se xamgu	Soon I'll be okay.	
xamgu	.i le'e plise cu xamgu le nu kanro .i ji'a le'e plise cu kukte	Apples are good for your health. And, in addition, they taste great.	x2: definition expects Entity (beneficiary/for what); example uses "le nu kanro" (nu, Event), not Entity.
xampo	ti voi minji cu xampo li re	This machine has a current of 2 amperes.	
xamsi	ti xamsi le berti	This is a northern sea.	
xance	le xance be do cu jai pluka fai le nu ri se pencu	Your hands are pleasant to the touch.	
xanka	mi xanka le nu do se la'u li xo kau kanro	I am concerned for your health.	
xanri	mi na kakne le ka se xanri le nu mi sazri le trene	I can't imagine myself driving a train.	
xanto	le xanto cu se nazbi le clani	Elephants have long noses.	
xarci	le ka dunda le titla cu xarci le verba le makcu	Giving sugar sweets is a weapon against children used by grown-ups.	
xarju	xu le xarju cu simsa le remna	Are pigs similar to humans?	
xarnu	le mi'u nakni cu xarnu le mamta be vo'a le ka na volta le zdani	He was obstinate in front of his mother in not returning home.	
xarnu	le mi'u fetsi ca xarnu fi le ka jinvi ma kau	She is obstinate in her opinion.	
xasli	le xasli ne se mau le xirma cu tsali	Donkeys are stronger than horses.	
xasne	le xasne be ra cu se cigla ti	His sweat is secreted by these glands.	
xatra	ti xatra la alis mi le se du'u mi prami la alis	This is a letter to Alice from me where I as saying I loved her.	
xatsi	le vidru cu xatsi le ka grake vau le ka tilju	The virus is one attogram in mass.	
xazdo	le mi'u tcaci cu steci le xazdo gugde	The custom is specific to Asian countries.	
xebni	mi xebni le ka zgana le nu do se tasmi le simsa	I hate seeing you like this.	
xecto	le rirxe cu xecto le ka mitre li pa no no vau le ka sraji	The river is 100 meters deep.	
xedja	mi pu carmi cmila i ja'e bo mi na ru'e jai se torni le xedja	I was laughing so hard that I nearly dislocated my jaw.	
xekri	nandu fa le ka zvafa'i le xekri mlatu bu'u le manku kumfa	It's hard to find a black cat in a dark room.	
xendo	ra pu xendo mi le ka dunda pa sanmi mi	He was kind to me in providing me with a meal.	
xenru	do ba xenru le ka lazni	You will regret your laziness.	
xexso	le ka xexso le ka snidu vau le ka temci cu gigdo le ka nanca li ji'i ci re vau le ka temci	1 exasecond is approximately 32 billion years.	
xindo	le mi'u uenzi cu xindo	The text is in Hindi.	
xinmo	le penbi pe mi co'u te xinmo fi da	My pen has run out of ink.	
xinmo	ti xinmo le blanu	This is blue ink.	
xirma	le mi'u grusi xirma pu'i sutra	The gray horse is fast.	
xislu	xu do mo'u cikre le mi'u xislu	Have you fixed the wheel?	
xlali	le nu le speni be mi cu bilma cu xlali da'i mi	An illness of my spouse would be bad for me.	
xlura	do pu xlura sa'u mi le ka te vecnu ti voi dinju vau le ka jai gau cenba fai le jdima	You just lured me into buying this house by changing the price.	
xotli	la uestern poi xotli cu zvati ma	Where is "Western" hotel?	
xrabo	le pendo be mi cu xrabo	My friend is Arabic.	
xrani	le mi'u nanla pu xrani le cidni be vo'a ja'e le nu ri cortu	The boy injured his knee so that it hurt.	
xrani	le jalge be le nu xrani cu ckape	The injury is dangerous.	
xriso	le mi'u nanmu pu klama pa malsi be le xriso	The woman went to a Christian temple.	
xruba	bu'u la nipon le prenu cu citka le xruba nudle	In Japan people like eating buckwheat noodles.	
xruki	xu do pu su'o roi citka le xruki	Have you ever eaten turkey?	
xrula	le se xrula poi do viska cu rozgu	This flower is a rose.	
xrula	ti noi xrula cu rozgu	This flower is a rose.	
xukmi	ti noi djine cu xukmi le solji li pi mu bi mu	This ring is 58.5% pure gold (58.5 out of 100 parts is pure gold).	
xunre	ko dunda le mi'u xunre cukta mi	Give me the red book.	
xusra	le djuno be le zmadu cu xusra le se zmadu	Who knows more claims less.	
xusra	xu do xusra le du'u le mi'u terdi cu carna le mi'u solri	Are you asserting that the Earth goes round the Sun?	
xutla	le mi'u djacu cu simlu le ka xutla tai le ka blaci	The water looks smooth as glass.	
zabna	.i xu zabna fa le nu da'i mi skicu le pu zi se zukte be mi la .alis.	I wonder if I should tell Alice what I just did.	
zabna	le mi'u jisra cu zabna le ka se tasta	The juice is superb in taste.	
zabna	ra zabna le ka se sance	Her voice is cool.	
zajba	ra zajba le ka se rilti muvdu	He is a rhythmic gymnast.	
zalvi	mi'a zalvi le maxri le purmo	We grind wheat into flour.	
zanru	mi zanru le mi'u se platu be do	I approve of your plan.	
zarci	le mi'u zarci be le rectu de'i li cy vo co'u akti	The butchery closes at 4 o'clock.	
zargu	le mi'u ninmu mo'u batci le zargu be le mi'u nanmu se pi'o le xance	She pinched his buttocks with a hand.	
zasni	ti noi dinju ba zasni le ka mi xabju	I will temporarily live in this building.	
zasti	do zasti mi le se senva be mi	You are real for me in my dreams.	
zbabu	ti noi zbabu cu se zbasu fi le jilka jo'u le grasu jo'u le djacu	This soap is made of alkali, fat and water.	
zbani	ti zbani le tumla pe la nipon	This is a coast of the Japanese land.	
zbasu	zbasu le cirla le ladru	Cheese is made from milk.	
zbasu	xu do mo'u zbasu le mi'u dinju	Have you finished building the house?	
zbepi	ti zbepi le tansi	This is a stand for the pan.	
zdani	le zdani be mi cu zdani be do	My home is your home.	
zdile	le mi'u verba mlatu cu zdile mi le ka tai ma kau plipe	The kitten is amusing in how it jumps.	
zekri	xu le ka catra le mabru cu zekri do	Is killing mammals a crime to you?	
zenba	mi zenba le ka se cfipu vau so'i da	My confusion increased a lot.	
zenba	e'o do zenba le ka masno le ka tavla i e'o do zenba masno tavla	Would you please speak more slowly?	
zepti	lo ka gunma lo'e xa no re selci be loi marji cu ka zepti le ka molro vau le ka se canlu	602 particles make up one zeptomole (zmol) of substance in volume. 	
zetro	le djacu po le xamsi be le terdi cu zetro le ka litce be li ji'i pa pi vo vau le ka se canlu	The volume of seawater in the Earth's oceans is approximately 1.4 zettalitres (ZL) in volume.	
zgana	mi zgana ko	Show yourself.	
zgana	mi zgana le zgike e le skina	I'm listening to the music and watching a movie.	
zgana	mi zgana le mi'u tcini le ka tirna	I'm monitoring the situation by listening.	
zgana	le ctuca pu jai se zgana fai le nu ri zvati le barja	The teacher was spotted in a bar.	
zgike	le zgike be le mi'u za'u cipni na cladu	The music of the birds isn't loud.	
zifre	mi zifre le ka zukte le se nelci be mi	I am free to do what I like.	
zinki	le mi'u cidja cu vasru le zinki	The food contains zinc.	
zirpu	le mi'u taxfu cu zirpu	The dress is purple.	
zivle	ra pu zivle le jdini le ka sidju pa cnino sanga	He invested money in a new singer.	x3: definition expects Entity (investment/venture); example uses "le ka sidju pa cnino sanga" (ka, Property), not Entity.
zivle	ai mi zivle le nejni le ka prami do vau le nu do prami mi	I take a chance on loving you so that you will love me.	x3: definition expects Entity (investment); example uses "le ka prami do" (ka, Property), not Entity.
zmadu	ra zmadu mi le ka tilju vau le ki'ogra be li pa no	He weighs ten more kilograms than I do.	
zmiku	le mi'u vorme cu zmiku le ka co'a kalri	The door opens automatically.	
zukte	do zukte ma	What are you doing?	
zukte	mi zukte le se gunka be mi tu'a mi	I'm doing my own work for myself.	
zukte	xu do ca'o zukte le cipra	Are you performing a test?	
zukte	mi zukte le ka darxi ra	I intentionally hit him.	
zukte	mi ba zukte ro sarcu le nu do nelci mi	I would do everything so that you like me.	
zumri	mi sombo le samcu e le zumri	I plant yams and maize.	
zungi	mi zungi le ka pu smusku le jitfa	I feel guilty about having told a lie.	
zunle	le mi'u dinju cu zunle le mi'u rokci ti	The house is to the left of the rock if viewed from here.	
zunti	le mi'u gerku cu zunti le nu mi lumci le kumfa vau le ka plipe	The dog leaping hinders me from cleaning the room.	x1: definition expects (nu, Event or State or Process) that interferes; example uses "le mi'u gerku" (Entity: the dog), not nu.
zutse	e'a do zutse le stizu	You may sit down on the chair.	
zvati	la .alis. cu zvati ma	Where ia Alice?	
zvati	le sivni kumfa cu zvati ma	Where is the toilet?	
zvati	mi pu zvati pa nu penmi	I was at a meeting.	
